index,file name,movie name,ch,location in ch (min/frames),length,AR (approx),size,genre (IMDB),genre category,# cuts,faces (0-5),human figures (0-5),nature (0-5),man-made objects (0-5),environment,light (0-5),light category,aud. Info,possible question,possible answers,content elements
108,BURY_7a,Bury My Heart at Wounded Knee,7,00:00.00/01-00:30.04/721,30.04s,16x9 (may be 1.77:1 to 1.85:1),853x480,drama/history/western,drama/other,3,4,4,3,2,outdoor,3,medium,4,tell me about the characters,"two couples; a younger man (the speaker) and woman on a horse, a middle-aged man and woman sitting on the ground, woman on ground looks concerned",
109,DREAMG_3a,Dreamgirls,3,00:03.03/73-00:33.06/793,30.03s,21x9,853x366,drama/music/musical,drama/other,2,3,3,0,4,indoor,2,low,1,"where does this scene take place, and why do you think so?","backstage/on stage behind curtain, piano & drumset & speakers, people setting up in background, lit sign, spotlight, women in performance clothes/same dresses",
110,DREAMG_9a,Dreamgirls,9,00:04.47/107-00:34.50/827,30.03s,21x9,853x366,drama/music/musical,drama/other,3,2,4,0,0,indoor,2,low,1,tell me about the women and their outfits,"african american, matching, white strapless dresses, blue edge on top, silver sequins, flare/ruffles on bottom, shorter in front, blue underneath, bobbed hair, gloves, ",
111,EASTE_11a,Eastern Promises,11,00:00.00/00-00:30.04/720,30.04s,16x9 (may be 1.77:1 to 1.85:1),841x460,crime/drama/mystery,drama/other,5,3,3,0,4,outdoor,3,medium,4,describe the man and his actions,"leans against motorcycle, wearing black jacket, slicked back hair, tattooed hands, fiddles with keys, takes piece of paper out of pocket",
112,EASTE_15a,Eastern Promises,17,00:00.00/00-00:30.02/719,30.02s,16x9 (may be 1.77:1 to 1.85:1),841x460,crime/drama/mystery,drama/other,1,2,3,0,1,outdoor,3,medium,3,describe the men,"waiting man:, bald, white mustache, black jacket and tie, man who gets out of car: brown hair, black jacket and gloves, sunglasses",
113,EASTE_19a,Eastern Promises,19,00:00.00/00-00:30.01/719,30.01s,16x9 (may be 1.77:1 to 1.85:1),841x460,crime/drama/mystery,drama/other,0,1,3,0,2,indoor,3,medium,1,what can you tell me about the baby,"cries, playpen with bear, toys, white lacey dress, white socks, chubby",
114,EASTE_2a,Eastern Promises,2,00:32.94/790-01:02.97/1510,30.03s,16x9 (may be 1.77:1 to 1.85:1),841x460,crime/drama/mystery,drama/other,2,3,3,0,2,indoor,3,medium,4,describe where the characters are sitting and standing,"man is sitting at table in dining room, mother is standing in kitchen, daughter walks from kitchen to dining room to talk to uncle",
115,EASTE_8b,Eastern Promises,8,03:41.27/5305-04:11.28/6024,30.01s,16x9 (may be 1.77:1 to 1.85:1),841x460,crime/drama/mystery,drama/other,5,3,3,0,2,indoor,3,medium,4,,,
116,FORGE_11a,Forgetting Sarah Marshall,11,00:14.31/343-00:44.32/1063,30.01s,16x9 (may be 1.77:1 to 1.85:1),853x460,comedy/drama/music,drama/other,6,4,3,2,0,outdoor,5,high,4,what can you tell me about the woman?,"dyed blond hair, blue eyes, wearing bathrobe, seems upset but trying to hide it",
117,FORGE_14a,Forgetting Sarah Marshall,14,00:34.23/821-01:04.26/1540,30.02s,16x9 (may be 1.77:1 to 1.85:1),853x460,comedy/drama/music,drama/other,6,3,3,2,0,outdoor,3,medium,4,"where does this scene take place, and what did you see that made you think so?","room with porch overlooking beach, trees, ocean, ",
118,FORGE_17a,Forgetting Sarah Marshall,17,00:11.71/281-00:41.74/1001,30.02s,16x9 (may be 1.77:1 to 1.85:1),853x460,comedy/drama/music,drama/other,3,4,3,0,0,indoor,3,medium,3,how does the man react?,"no eye contact, annoyed/unhappy, resists her attempts to kiss him",
119,FORGE_8a,Forgetting Sarah Marshall,8,01:06.19/1588-01:36.21/2307,30.01s,16x9 (may be 1.77:1 to 1.85:1),853x460,comedy/drama/music,drama/other,7,3,3,2,2,outdoor,4,high,3,how do the three characters react to the speaker,,
120,FREED_12a,Freedom Writers,12,04:54.32/7056-05:24.37/7777,30.04s,16x9 (may be 1.77:1 to 1.85:1),853x480,biography/crime/drama,drama/other,6,3,4,0,1,indoor,3,medium,3,tell me about the young man,"black/african american, mustache, stands, blue plaid shirt, white undershirt, jeans, earring",
121,FREED_14a,Freedom Writers,14,00:05.78/139-00:35.81/859,30.03s,16x9 (may be 1.77:1 to 1.85:1),853x480,biography/crime/drama,drama/other,1,2,3,0,3,indoor,2,low,3,"why does the woman turn around, and what does she see?","packed suitcases, bags, man is drinking wine",
122,FREED_16a,Freedom Writers,16,03:14.11/4653-03:44.12/5373,30.01s,16x9 (may be 1.77:1 to 1.85:1),853x480,biography/crime/drama,drama/other,3,2,4,0,3,indoor,3,medium,4,tell me about the people in the room,"2 women (younger with longer brown hair and older with short light brown hair) sitting across a desk from a third woman (blond, Karin Polacheck), three men (one african american) sitting in room also",
123,FREED_2a,Freedom Writers,2,01:09.94/1677-01:39.96/2397,30.02s,16x9 (may be 1.77:1 to 1.85:1),853x480,biography/crime/drama,drama/other,8,4,3,0,4,indoor,3,medium,0,tell me the things you saw in the room.,"classroom; cabinet with binders, projector, filebox; desks, (graffiti), broken windowshades, chalkboard, chalk",
124,FREED_8a,Freedom Writers,8,00:41.05/984-01:11.07/1704,30.01s,16x9 (may be 1.77:1 to 1.85:1),853x480,biography/crime/drama,drama/other,6,3,3,0,2,indoor,3,medium,4,,,
125,HESJU_12a,He's Just Not That Into You,12,00:00.00/00-00:30.01/720,30.01s,21x9,853x360,comedy/drama/romance,drama/other,6,4,4,0,2,indoor,4,high,2,describe the interactions in this scene,"man sneaks a glance at her, she smiles and shakes her head, he smiles, applauds end of class",
126,HESJU_16b,He's Just Not That Into You,16,02:10.43/3127-02:40.46/3846,30.03s,21x9,853x360,comedy/drama/romance,drama/other,2,2,4,0,4,indoor,3,medium,3,describe the guests in this scene and what they are doing,"all men, gay couples, looking around, inspecting house",
127,HESJU_30a,He's Just Not That Into You,30,00:00.00/00-00:29.99/718,29.99s,21x9,853x360,comedy/drama/romance,drama/other,5,3,4,1,2,outdoor,3,medium,3,what happens in this scene?,"a woman is looking at a real estate ad in the (gay) paper, realizes the man in the ad is sitting near her, calls him",
128,HESJU_4a,He's Just Not That Into You,4,01:22.98/1989-01:53.01/2709,30.03s,21x9,853x360,comedy/drama/romance,drama/other,5,3,2,0,3,indoor,3,medium,4,"where does this scene take place, and why do you think so?","""new colony spice"", office, carrels, desks, computers, folders",
129,HESJU_8b,He's Just Not That Into You,8,01:28.30/2117-01:58.33/2836,30.03s,21x9,853x360,comedy/drama/romance,drama/other,0,2,3,0,3,indoor,2,low,4,,,
130,loop_5a,In the Loop,5,02:17.17/3289-2:47.21/4009,30.04s,16x9 (may be 1.77:1 to 1.85:1),853x466,comedy,drama/other,6,2,3,0,3,indoor,4,high,5,tell me about the men and the office,"younger man: standing, suit, dark hair & eyes, checkered shirt, black tie, white lanyard, carries notebook & pen; older man: sitting behind desk, light/greying hair, beard, suit, red & black striped tie, holding notebook& pen, black lettered lanyard with id, glasses;office: wood-paneled, model canons & eagles, american flags, window to other office",
131,JULIE_10a,Julie and Julia,10,00:00.00/00-00:30.01/720,30.01s,16x9 (may be 1.77:1 to 1.85:1),853x462,biography/drama/romance,drama/other,6,2,3,0,4,indoor,3,medium,5,,,
132,JULIE_10b,Julie and Julia,10,03:10.75/4573-03:40.77/5293,30.01s,16x9 (may be 1.77:1 to 1.85:1),853x462,biography/drama/romance,drama/other,4,3,2,1,2,indoor,2,low,0,,,
133,JULIE_14a,Julie and Julia,14,00:00.00/00-00:30.04/720,30.04s,16x9 (may be 1.77:1 to 1.85:1),853x462,biography/drama/romance,drama/other,6,2,3,0,4,indoor,2,low,3,,,
134,JULIE_18a,Julie and Julia,18,00:47.58/1141-1:17.62/1861,30.04s,16x9 (may be 1.77:1 to 1.85:1),853x462,biography/drama/romance,drama/other,6,1,2,0,3,indoor,2,low,0 (audio is unrelated to visuals),"What ingredients are in the stew, and what pots/utensils were used?","meat, carrots, onions, pepper/spice, bay leaf, wine; paper towel, tongs, frying pan, red pot with orange handles, oven",
135,JULIE_22a,Julie and Julia,22,00:00.00/00-00:30.02/719,30.02s,16x9 (may be 1.77:1 to 1.85:1),853x462,biography/drama/romance,drama/other,2,4,3,0,4,indoor,3,medium,4,describe the woman's actions and how she seems to be feeling,"unbuttons sweater, takes book and wraps it, moves very slowly, seems sad and thoughtful",
136,JULIE_6a,Julie and Julia,6,1:39.91/2395-2:09.94/3115,30.03s,16x9 (may be 1.77:1 to 1.85:1),853x462,biography/drama/romance,drama/other,0,3,3,0,2,indoor,3,medium,4,tell me about the woman whose birthday it is,"wearing a black v-neck, pearls, curly short reddish-brown hair, wearing watch, pin/brooch, earrings, recieves a french cookbook, kisses man to her left, happy, 30s-middle-aged",
137,LARS_12a,Lars and the Real Girl,12,00:04.75/114-00:34.75/833,29.99s,16x9 (may be 1.77:1 to 1.85:1),851x472,comedy/drama,drama/other,6,3,3,0,2,indoor,2,low,4,tell me about the woman.,"blond hair tied back, eating, soda, chips, sandwich, container, sitting behind desk, white patterned collared shirt, black skirt",
138,LARS_16a,Lars and the Real Girl,16,00:00/00-00:30.04/719,30.04s,16x9 (may be 1.77:1 to 1.85:1),851x472,comedy/drama,drama/other,4,2,3,0,2,indoor,2,low,0,what does the woman see out the window?,"man, woman doll, dancing",
139,LARS_20a,Lars and the Real Girl,20,00:27.15/651-00:57.19/1371,30.03s,16x9 (may be 1.77:1 to 1.85:1),851x472,comedy/drama,drama/other,2,2,3,0,3,indoor,3,medium,3,what can you tell me about the object on the table?,"teddy bear, pink shirt, ""noose"" made from usb cable",
140,LARS_24a,Lars and the Real Girl,24,00:19.01/456-00:49.01/1175,29.99s,16x9 (may be 1.77:1 to 1.85:1),851x472,comedy/drama,drama/other,1,4,3,0,2,in/outdoor,2,low,0,a) How does the man look? B)how do you think the man is feeling?,"a) rumpled hair, unshaven, moustache, light brown hair & blue eyes, pink pajama shirt & brown sweater. B) sad, thoughtful, troubled, waiting for something, concerned",
141,LARS_4a,Lars and the Real Girl,4,0:59.30/1422-1:29.33/2142,30.03s,16x9 (may be 1.77:1 to 1.85:1),851x472,comedy/drama,drama/other,1,3,4,0,2,outdoor,1,low,4,"tell me as much as you can about both characters, their actions, and facial expressions","woman tackles man from behind, both fall down, woman pins man to ground, man repeatedly winces, woman looks sad/wistful/thoughtful until man agrees, then looks happy, woman has flashlight",
142,MARGO_2a,Margot at the Wedding,2,00:00.00/00-00:30.04/720,30.04s,16x9 (may be 1.77:1 to 1.85:1),851x480,comedy/drama,drama/other,8,2,4,0,3,indoor,2,low,4,,,
143,MARGO_4a,Margot at the Wedding,4,00:00.00/1-00:30.01/720,30.01s,16x9 (may be 1.77:1 to 1.85:1),851x480,comedy/drama,drama/other,6,0,4,1,4,indoor,2,low,4,,,
144,MARGO_4b,Margot at the Wedding,4,07:21.03/10575-07:51.03/11294,29.99s,16x9 (may be 1.77:1 to 1.85:1),851x480,comedy/drama,drama/other,0,5,4,0,2,indoor,2,low,3,,,
145,MARGO_6b,Margot at the Wedding,6,03:45.04/5395-04:25.05/6115,30.01s,16x9 (may be 1.77:1 to 1.85:1),851x480,comedy/drama,drama/other,5,3,4,1,2,outdoor,3,medium,3,,,
146,MARGO_8a,Margot at the Wedding,8,00:03.80/91-00:33.83/811,30.02s,16x9 (may be 1.77:1 to 1.85:1),851x480,comedy/drama,drama/other,0,3,3,0,2,indoor,2,low,4,,,
147,MISSP_12a,Miss Pettigrew Lives for a Day,12,00:00.00/01-00:30.03/720,30.03s,21x9,853x362,comedy/romance,drama/other,5,3,3,0,1,indoor,2,low,2,how does the first woman feel and why do you think so?,"anxious, nervous, worried, upset; pacing, wringing hands, facial expression",
148,MISSP_15a,Miss Pettigrew Lives for a Day,15,00:22.65/543-00:52.26/1263,30.01s,21x9,853x362,comedy/romance,drama/other,4,4,3,0,2,indoor,2,low,2,describe the woman.,"gold dress, blond hair, earrings, seems worried/nervous, smiles broadly before entering",
149,MISSP_3a,Miss Pettigrew Lives for a Day,3,02:18.55/3321-02:48.57/4041,30.02s,21x9,853x362,comedy/romance,drama/other,7,2,4,0,3,indoor,3,medium,2,describe the man's dress,"black pants, white shirt, collar up, partially untucked, suspenders, vest, jacket, handkerchief in pocket",
150,MISSP_6a,Miss Pettigrew Lives for a Day,6,01:06.14/1586-01:36.17/2306,30.02s,21x9,853x362,comedy/romance,drama/other,2,2,4,0,4,outdoor,3,medium,2,tell me about the woman in blue,"curly blond hair, fashionable, matching blue suit, gloves, hat, young, ditzy",
151,MISSP_9a,Miss Pettigrew Lives for a Day,9,00:03.90/94-00:33.93,30.03s,21x9,853x362,comedy/romance,drama/other,4,3,3,0,4,indoor,3,medium,3,describe the two womens' reactions to piano playing,"younger blond: appears nervous/anxious, scrunches up face; older brunette: worried/startled/scared, thinks it’s a burgler",
152,NANN_15a,Nanny McPhee Returns,15,01:27.91/2108-01:57.91/2827,29.99s,21x9,853x354,comedy/family/fantasy,drama/other,4,0,3,0,3,outdoor,3,medium,2,,,
153,NANN_3a,Nanny McPhee Returns,3,00:09.48/227-00:39.49/947,30.01s,21x9,853x354,comedy/family/fantasy,drama/other,6,2,3,1,3,outdoor,3,medium,2,,,
154,NANN_6a,Nanny McPhee Returns,6,01:56.89/2802-02:26.92/3522,30.02s,21x9,853x354,comedy/family/fantasy,drama/other,8,1,2,0,3,indoor,4,high,0,,,
155,OCTOB_11c,October Sky,11,11:14.91/16179-11:44.94/16899,30.03s,21x9,853x364,biography/drama/family,drama/other,3,1,3,0,3,indoor,1,low,3,,,
156,OCTOB_13a,October Sky,13,00:00.00/0-00.30.02/720,30.02s,21x9,853x364,biography/drama/family,drama/other,3,0,2,3,1,outdoor,3,medium,1,,,
157,OCTOB_3a,October Sky,3,00:02.54/61-00:32.57/781,30.03s,21x9,853x364,biography/drama/family,drama/other,8,3,4,0,2,indoor,2,low,3,,,
158,OCTOB_5b,October Sky,5,04:27.11/6402-04:57.13/7121,30.01s,21x9,853x364,biography/drama/family,drama/other,2,2,4,0,2,outdoor,2,low,4,,,
159,OCTOB_7a,October Sky,7,00:08.51/204-00:38.54/923,30.02s,21x9,853x364,biography/drama/family,drama/other,2,2,4,1,3,outdoor,2,low,3,,,
160,OFFIC_4a,Office Space,4,00:40.81/978-01:10.83/1698,30.02s,16x9 (may be 1.77:1 to 1.85:1),851x462,comedy/crime,drama/other,5,3,4,0,4,indoor,3,medium,4,tell me about the men,"3 men: one with brown hair & green shirt & striped tie, one with striped shirt & glasses & tie, one south-aisan with beard, dark shirt & tie. One man put sugar in his coffee, the other creamer.",
161,OFFIC_24a,Office Space,4,00:00.00/1-00:30.01/719,30.01s,16x9 (may be 1.77:1 to 1.85:1),851x462,comedy/crime,drama/other,3,4,2,0,3,car,4,high,5,describe the woman,"long blond hair, blue eyes, drinking pepsi, looks confused/concerned, wearing teal/blue/green tanktop, wears 2 rings & bracelet",
162,PAYIT_13a,Pay it Forward,13,1:38.58/2363-2:08.61/3083,30.03s,16x9 (may be 1.77:1 to 1.85:1),853x480,drama/romance,drama/other,0,4,3,0,3,indoor,3,medium,4,"tell me about the characters, their facial expressions, and body language","woman has dyed, crimped, blond hair, wears makeup, earrings; man has light brown hair, glasses, scarring on face; both characters seem nervous/awkward/anxious, both hold hands nervously, lack of eye contact",
163,PAYIT_27a,Pay it Forward,27,0:23.42/562-0:53.42/1281,29.99s,16x9 (may be 1.77:1 to 1.85:1),853x480,drama/romance,drama/other,1,3,4,0,2,outdoor,2,low,3,,,
164,PAYIT_3a,Pay it Forward,3,0:2.13/51-0:32.16/771,30.03s,16x9 (may be 1.77:1 to 1.85:1),853x480,drama/romance,drama/other,3,3,4,0,3,indoor,4,high,4,what can you tell me about the teacher,"light brown hair, glasses, scarring on face, grey suit (somewhat wrinkled), sneakers, walking to the left, striped tie, checkered shirt",
165,RECOUNT_2a,Recount,2,06:05.98/8774-06:36.01/9494,30.03s,16x9 (may be 1.77:1 to 1.85:1),853x480,drama/history,drama/other,2,4,2,0,2,indoor,2,low,4,"describe the woman's reaction when the caller says ""its Jeb""","opens eyes, startled, alert, concerned",
166,RECOUNT_4a,Recount,4,03:12.84/4623-03:42.88/5344,30.04s,16x9 (may be 1.77:1 to 1.85:1),853x480,drama/history,drama/other,6,3,4,0,4,indoor,2,low,4,tell me everything you can remember that was on the characters desks,"man: styrofoam cup with red straw, sticky note, stacks of papers, folders, name plate, binder, file shelves, paper bag, scissors, pen, cluttered. Woman: binder, telephone, coffee mug, keyboard, rolls/tape, yellow pad",
167,RECOUNT_4b,Recount,4,04:33.33/6553-05:03.35/7273,30.02s,16x9 (may be 1.77:1 to 1.85:1),853x480,drama/history,drama/other,7,5,3,0,2,indoor,3,medium,2,"tell me about the man who says, ""that's it?""","wears glasses, grey suit, blue tie, brown hair, initially looks surprised/worried, glances back and forth as men shake hands, puts something into suit pocket, gathers binders slowly & holds back till others leave, looks upset",
168,RECOUNT_8a,Recount,8,00:41.62/998-01:11.60/1717,29.97s,16x9 (may be 1.77:1 to 1.85:1),853x480,drama/history,drama/other,7,3,5,0,3,indoor,3,medium,4,,,
169,RECOUNT_8c,Recount,8,08:00.32/11516-08:30.32/12235,29.99s,16x9 (may be 1.77:1 to 1.85:1),853x480,drama/history,drama/other,4,3,3,0,2,indoor,2,low,4,,,
170,SHAKE_16a,Shakespeare in Love,16,00:00.00/00-00:30.04/719,30.04s,21x9,846x372,comedy/drama/romance,drama/other,8,2,3,0,3,indoor,3,medium,2,,,
171,SHAKE_20a,Shakespeare in Love,20,01:25.03/2038-01:55.06/2758,30.02s,21x9,846x372,comedy/drama/romance,drama/other,7,5,3,1,0,outdoor,4,high,3,describe the woman's emotions,"shock, grief, lip trembles, tear",
172,SHAKE_24a,Shakespeare in Love,24,00:05.25/126-00:35.28/846,30.03s,21x9,846x372,comedy/drama/romance,drama/other,0,5,3,0,2,indoor,2,low,0,tell me about the woman who is sitting in bed,"did not eat, close to tears, upset, reading letters",
173,SHAKE_28a,Shakespeare in Love,28,02:45.77/3974-03:15.80/4693,30.03s,21x9,846x372,comedy/drama/romance,drama/other,6,3,4,0,2,indoor,3,medium,2,"what time period does this scene take place in, and why do you think so?",,
174,SHAKE_8c,Shakespeare in Love,8,04:04.26/5855-4:34.29/6575,30.03s,21x9,846x372,comedy/drama/romance,drama/other,5,3,2,0,1,indoor,3,medium,2,"who is the character on the stage, and how does the person in the balcony react?",woman disguised as boy; he is impressed/stunned,
175,Spide_16a,Spiderman 3,16,00:02.80/67-00:32.84/786,30.04s,21x9,853x354,action/drama/fantasy,drama/other,6,2,3,0,2,indoor,3,medium,4,,,
176,Spide_30a,Spiderman 3,30,00:20.92/501-00:50.95/1221,30.02s,21x9,853x354,action/drama/fantasy,drama/other,6,2,3,0,3,indoor,3,medium,1,,,
177,Spide_40a,Spiderman 3,40,00:26.72/641-00:56.74/1360,30.01s,21x9,853x354,action/drama/fantasy,drama/other,1,1,2,0,2,indoor,2,low,2,describe where and how Peter is located at the start of the scene,"sitting, on floor, against glass doors, behind chair, lower right part of screen, looking down/eyes closed, sad/tired, looks up when hears knocks",
178,Spide_4a,Spiderman 3,4,00:20.47/491-00:50.50/1211,30.02s,21x9,853x354,action/drama/fantasy,drama/other,4,4,5,0,2,indoor,2,low,1,describe the reaction of the man in the audience/describe the singer's outfit,"says he's nervous, smiles, mouths along/white dress, halter top v-neck, flower in hair",
179,Spide_8a,Spiderman 3,8,00:22.97/551-00:53.00/1270,30.02s,21x9,853x354,action/drama/fantasy,drama/other,7,1,3,0,2,outdoor,1,low,0,describe the two characters,"young men, one has spider web and shoots iceballs, the other has flying skateboard and knives on arm",
180,STARD_16a,Stardust,16,01:51.98/2685-02:22.00/3404,30.02s,21x9,853x356,adventure/comedy/family (fantasy?),drama/other,8,3,3,0,3,indoor,3,medium,2,describe the man and what he is holding/carrying,"brown longish hair, white coat, black boots, sword, flower (protecting him), tube/bag",
181,STARD_2a,Stardust,2,03:26.40/494803:56.45/5669,30.04s,21x9,853x356,adventure/comedy/family (fantasy?),drama/other,7,3,3,2,2,outdoor,1,low,3,describe how the woman reacts,"rolls eyes, annoyed, exasperated, shuts window on him",
182,STARD_4a,Stardust,4,00:00.00/00-00:30.03/719,30.03s,21x9,853x356,adventure/comedy/family (fantasy?),drama/other,7,1,4,3,0,outdoor,1,low,3,describe the man by the wall,"old, grey hair, mustache and forked beard, grey cloak/dress, buttons, black cape, wooden staff",
183,STARD_4c,Stardust,4,01:51.82/2681-02:21.84/3400,30.01s,21x9,853x356,adventure/comedy/family (fantasy?),drama/other,5,4,2,0,2,outdoor,2,low,1,describe the woman's actions and how she feels,"awakes, sits up, in pain, reaches for necklace, confused, bewildered",
184,STARD_7a,Stardust,7,00:03.97/95-00:33.98/815,30.01s,21x9,853x356,adventure/comedy/family (fantasy?),drama/other,6,4,3,3,0,outdoor,1,low,2,describe what happens in this scene,"woman transforms two goats into two men; looks at them & thinks, transforms younger man into woman",
185,HURT_5a,2,5,02:03.59/2963-02:33.62/3683,30.03s,16x9 (may be 1.77:1 to 1.85:1),853x480,drama/thriller/war,drama/other,8,3,3,0,2,indoor,3,medium,4,,,
186,HURT_7a,The Hurt Locker,7,00:00.00/00-00:30.03/720,30.03s,16x9 (may be 1.77:1 to 1.85:1),853x480,drama/thriller/war,drama/other,6,2,4,0,4,outdoor,3,medium,3,,,
187,BOOKC_15a,The Jane Austen Book Club,15,00:06.59/158-00:36.60/877,30.00s,16x9 (may be 1.77:1 to 1.85:1),851x478,drama/romance,drama/other,6,3,3,2,3,outdoor,4,high,3,"what time of day is it, and why do you think so?","morning; light out, woman in bathrobe/just showered, man hands her paper, says ""I didn't want to wake you""",
188,BOOKC_11a,The Jane Austen Book Club,11,01:16.32/1829-01:46.35/2549,30.02s,16x9 (may be 1.77:1 to 1.85:1),851x478,drama/romance,drama/other,5,3,3,0,5,indoor,3,medium,1,"what things are ""wrong"" in the kitchen and living room?","smoke, stove left on, oven door open, trash can out, dirty bowl and baking ingredients left out/counters a mess, food in pan on stove, cigarettes (& other drug paraphanalia) in living room, cake on floor",
189,BOOKC_23a,The Jane Austen Book Club,23,00:03.42/82-00:33.46,30.04s,16x9 (may be 1.77:1 to 1.85:1),851x478,drama/romance,drama/other,7,4,4,0,2,indoor,3,medium,0,how do the woman and her friends react when the man asks her to dance?,"she seems surprised/startled, look at him, unsure, looks to friend, friends smile, seem pleased",
190,BOOKC_27a,The Jane Austen Book Club,27,01:04.26/1541-01:34.26/2260,29.99s,16x9 (may be 1.77:1 to 1.85:1),851x478,drama/romance,drama/other,7,2,5,3,0,outdoor,4,high,3,,,
191,BOOKC_3a,The Jane Austen Book Club,3,01:29.20/2139-01:59.20/2858,29.99s,16x9 (may be 1.77:1 to 1.85:1),851x478,drama/romance,drama/other,1,3,5,0,4,indoor,2,low,5,,,
192,SQUID_12c,The Squid and the Whale,12,01:14.10/1777-01:44.11/2496,30.01s,16x9 (may be 1.77:1 to 1.85:1),839x462,comedy/drama,drama/other,3,4,3,0,2,indoor,3,medium,3,,,
193,SQUID_2a,The Squid and the Whale,2,00:00.00/0-00:30.01/720,30.01s,16x9 (may be 1.77:1 to 1.85:1),839x462,comedy/drama,drama/other,1,2,3,0,3,indoor,2,low,,,,
194,SQUID_4a,The Squid and the Whale,4,01:02.44/1497-01:32.47/2217,30.02s,16x9 (may be 1.77:1 to 1.85:1),839x462,comedy/drama,drama/other,7,3,3,0,2,indoor,3,medium,4,,,
195,SQUID_6a,The Squid and the Whale,6,01:45.57/2531-02:15.62/3251,30.04s,16x9 (may be 1.77:1 to 1.85:1),839x462,comedy/drama,drama/other,2,2,3,0,1,indoor,4,high,3,,,
196,SQUID_8a,The Squid and the Whale,8,01:14.91/1796-01:44.94/2516,30.02s,16x9 (may be 1.77:1 to 1.85:1),839x462,comedy/drama,drama/other,1,2,3,0,1,car,2,low,4,,,
197,STEPF_16a,The Stepfather,16,00:49.66/1191-01:19.67/1910,30.01s,21x9,853x360,mystery/thriller,drama/other,8,2,4,0,0,indoor,3,medium,4,,,
198,STEPF_23a,The Stepfather,23,00:04.40/106-00:34.41/825,30.01s,21x9,853x360,mystery/thriller,drama/other,6,3,3,0,1,indoor,3,medium,3,,,
199,STEPF_4a,The Stepfather,4,00:11.36/272-00:41.37/992,30.01s,21x9,853x360,mystery/thriller,drama/other,3,1,2,0,5,indoor,2,low,1,name as many things from the basement that you can remember,"unicorn doll, bicycle helmets, freezer, padlocked cabinets",
200,STEPF_5a,The Stepfather,5,00:03.38/81-00:33.41/801,30.03s,21x9,853x360,mystery/thriller,drama/other,3,2,3,0,1,indoor,3,medium,4,,,
201,BIG_9-10a_POR,Big,9,00:00/00-00:30:00/922,30.00s,16x9 (may be 1.77:1 to 1.85:1),632x359,comedy/drama,drama/other,4,5,5,0,5,indoor,5,high,2,describe what the man sees when he enters the spinning doorway,,
202,BLUE_10a_POR,Blue Planet,10,00:00/00-00:30:00/922,30:00s,,480x240,documentary,doc/nature,4,0,0,5,0,outdoor,4,high,4,,,
203,NETW_7a_POR,Network,7,00:00/00-00:30:00/922,30:00s,,480x240,drama/history,drama/other,2,5,5,0,5,indoor,3,medium,3,,,
204,QUIZ_8a_POR,Quiz Show,8,00:00/00-00:29:00/893,29:00s,,480x256,drama/history,drama/other,4,5,5,0,5,indoor,3,medium,3,,,
205,SHAKE_11a_POR,Shakespeare in Love,11,00:00/00-00:30:00/910,30:00s,,480x192,drama/romance,drama/other,4,2,4,3,1,outdoor,2,low,3,,,
206,SUND_36a_POR,Any Given Sunday,36,00:00/00-00:30:00/916,30:00s,,480x176,drama/sports,drama/other,15,5,5,1,5,outdoor,5,high,4,,,
